!!SBtab TableID='Protein' TableType='Quantity' Unit='mmol/gCDW' Organism='Escherichia coli'
% Concentrations of polypeptide chains across conditions in units of mmol/gCDW; rows correspond to enzymatic polypeptide chains with expression levels > 0 in at least one condition.
!QuantityType	!Gene:LocusName	!Gene:Name	GLC_CHEM_mu_0_11_V	GLC_CHEM_mu_0_12_S	GLC_CHEM_mu_0_20_S	GLC_CHEM_mu_0_21_P	GLC_CHEM_mu_0_21_V	GLC_CHEM_mu_0_22_P	GLC_CHEM_mu_0_26_P	GAL_BATCH_mu_0_26_S	ACE_BATCH_mu_0_3_S	GLC_CHEM_mu_0_31_P	GLC_CHEM_mu_0_31_V	GLC_CHEM_mu_0_35_S	GLC_CHEM_mu_0_36_P	PYR_BATCH_mu_0_4_S	GLC_CHEM_mu_0_40_V	GLC_CHEM_mu_0_41_P	FUM_BATCH_mu_0_42_S	SUCC_BATCH_mu_0_44_S	GLC_CHEM_mu_0_46_P	GAM_BATCH_mu_0_46_S	GLYC_BATCH_mu_0_47_S	MAN_BATCH_mu_0_47_S	GLC_CHEM_mu_0_49_V	GLC_CHEM_mu_0_50_S	GLC_CHEM_mu_0_51_P	GLC_SALTS_BATCH_mu_0_55_S	XYL_BATCH_mu_0_55_S	GLC_BATCH_mu_0_58_S	GLC_pH6_BATCH_mu_0_63_S	FRU_BATCH_mu_0_65_S	GLC_42deg_BATCH_mu_0_66_S
concentration of enzyme	b0529	folD	1.80E-06	3.70E-06	4.00E-06	1.50E-06	2.10E-06	1.60E-06	5.10E-06	1.70E-06	5.40E-06	1.70E-06	2.30E-06	4.50E-06	1.80E-06	5.50E-06	2.50E-06	1.80E-06	5.50E-06	5.40E-06	7.20E-06	1.80E-06	6.10E-06	5.00E-06	2.50E-06	5.20E-06	2.10E-06	7.40E-06	9.00E-06	6.60E-06	9.60E-06	6.00E-06	7.60E-06
concentration of enzyme	b0529	folD	1.80E-06	3.70E-06	4.00E-06	1.50E-06	2.10E-06	1.60E-06	5.10E-06	1.70E-06	5.40E-06	1.70E-06	2.30E-06	4.50E-06	1.80E-06	5.50E-06	2.50E-06	1.80E-06	5.50E-06	5.40E-06	7.20E-06	1.80E-06	6.10E-06	5.00E-06	2.50E-06	5.20E-06	2.10E-06	7.40E-06	9.00E-06	6.60E-06	9.60E-06	6.00E-06	7.60E-06
concentration of enzyme	b0639	nadD		6.90E-08	6.80E-08				1.40E-07		1.10E-07			7.10E-08		8.90E-08			1.20E-07	1.20E-07	8.80E-08		1.00E-07	1.30E-07		7.50E-08		1.80E-07	1.70E-07	1.40E-07	1.90E-07	1.60E-07	1.60E-07
concentration of enzyme	b0720	gltA	4.20E-05	1.30E-04	1.30E-04	1.30E-04	5.40E-05	1.40E-04	8.30E-05	1.40E-04	1.50E-04	1.20E-04	4.40E-05	1.10E-04	1.00E-04	1.50E-04	3.70E-05	9.90E-05	7.20E-05	7.60E-05	8.50E-05	9.60E-05	6.70E-05	1.10E-04	2.30E-05	1.20E-04	7.50E-05	6.00E-05	4.10E-05	3.40E-05	3.50E-05	6.80E-05	5.20E-05
concentration of enzyme	b0750	nadA	9.50E-07	5.50E-07	7.40E-07	6.30E-07	1.20E-06	6.20E-07	4.40E-07	8.00E-07	9.70E-07	7.50E-07	1.10E-06	1.00E-06	6.60E-07	9.30E-07	9.70E-07	6.60E-07	7.40E-07	6.90E-07	9.00E-07	7.80E-07	8.70E-07	9.20E-07	1.10E-06	1.20E-06	7.10E-07	7.60E-07	8.30E-07	1.30E-06	1.30E-06	9.20E-07	1.90E-06
concentration of enzyme	b0767	pgl	1.40E-05	1.70E-05	1.70E-05	6.00E-06	9.40E-06	5.70E-06	2.10E-05	4.90E-06	1.30E-05	4.50E-06	8.50E-06	1.30E-05	4.30E-06	7.10E-06	7.90E-06	4.00E-06	1.20E-05	9.60E-06	8.40E-06	3.80E-06	1.30E-05	1.00E-05	6.90E-06	1.20E-05	3.20E-06	1.10E-05	2.10E-05	6.40E-06	2.20E-05	8.50E-06	1.20E-05
concentration of enzyme	b0774	bioA		2.20E-07	2.40E-07				4.00E-07		5.50E-07	1.60E-07		3.00E-07		3.30E-07		2.00E-07	3.50E-07	4.10E-07	4.20E-07	1.90E-07	3.50E-07	3.50E-07		4.20E-07	2.50E-07	5.20E-07	1.10E-06	4.90E-07	4.80E-07	3.40E-07	6.00E-07
concentration of enzyme	b0775	bioB		1.70E-07	2.40E-07			2.20E-07	4.90E-07		4.10E-07	3.20E-07		2.60E-07	2.90E-07	2.90E-07		3.90E-07	7.00E-07	8.70E-07	5.40E-07	4.60E-07	7.10E-07	4.80E-07		5.60E-07	5.70E-07	7.10E-07	2.90E-07	1.30E-06	1.60E-07	8.20E-07	6.40E-07
concentration of enzyme	b0776	bioF		1.90E-07	2.20E-07				3.00E-07		4.30E-07			2.40E-07		5.40E-07			3.10E-07	2.90E-07	3.10E-07		3.20E-07	3.40E-07		2.70E-07		4.70E-07	4.50E-07	2.60E-07	2.60E-07	3.80E-07	7.70E-07
concentration of enzyme	b0778	bioD1	4.00E-07	6.30E-07	8.20E-07	5.70E-07		6.60E-07	7.70E-07	5.20E-07	1.40E-06	5.80E-07	5.60E-07	9.60E-07	7.70E-07	8.40E-07	4.90E-07	6.20E-07	1.00E-06	6.40E-07	8.20E-07	6.10E-07	7.70E-07	6.10E-07	6.30E-07	1.10E-06	6.90E-07	1.00E-06	2.20E-06	1.60E-06	1.50E-06	7.20E-07	2.00E-06
concentration of enzyme	b0826	moeB		1.70E-07					1.40E-07		2.80E-07			2.70E-07		1.70E-07			9.50E-08	2.10E-07	2.20E-07		1.30E-07			1.90E-07				3.30E-07	5.20E-08		1.20E-07
concentration of enzyme	b0827	moeA	1.30E-06	1.10E-06	1.30E-06	1.00E-06	1.20E-06	1.10E-06	1.90E-06	1.10E-06	1.90E-06	1.00E-06	1.30E-06	1.20E-06	1.00E-06	1.80E-06	1.20E-06	9.80E-07	1.70E-06	1.30E-06	1.70E-06	9.80E-07	1.60E-06	1.60E-06	1.10E-06	1.20E-06	9.50E-07	1.90E-06	1.90E-06	1.90E-06	3.20E-06	1.40E-06	2.20E-06
concentration of enzyme	b0827	moeA	1.30E-06	1.10E-06	1.30E-06	1.00E-06	1.20E-06	1.10E-06	1.90E-06	1.10E-06	1.90E-06	1.00E-06	1.30E-06	1.20E-06	1.00E-06	1.80E-06	1.20E-06	9.80E-07	1.70E-06	1.30E-06	1.70E-06	9.80E-07	1.60E-06	1.60E-06	1.10E-06	1.20E-06	9.50E-07	1.90E-06	1.90E-06	1.90E-06	3.20E-06	1.40E-06	2.20E-06
concentration of enzyme	b0907	serC	2.10E-05	1.70E-05	2.30E-05	3.20E-05	2.80E-05	3.20E-05	3.60E-05	3.40E-05	3.50E-05	3.50E-05	3.00E-05	2.50E-05	3.60E-05	3.50E-05	3.00E-05	3.70E-05	3.00E-05	3.90E-05	4.10E-05	3.90E-05	3.70E-05	3.80E-05	4.00E-05	2.90E-05	4.30E-05	5.70E-05	6.20E-05	6.40E-05	7.30E-05	5.30E-05	6.30E-05
concentration of enzyme	b0907	serC	2.10E-05	1.70E-05	2.30E-05	3.20E-05	2.80E-05	3.20E-05	3.60E-05	3.40E-05	3.50E-05	3.50E-05	3.00E-05	2.50E-05	3.60E-05	3.50E-05	3.00E-05	3.70E-05	3.00E-05	3.90E-05	4.10E-05	3.90E-05	3.70E-05	3.80E-05	4.00E-05	2.90E-05	4.30E-05	5.70E-05	6.20E-05	6.40E-05	7.30E-05	5.30E-05	6.30E-05
concentration of enzyme	b0908	aroA	2.00E-06	2.00E-06	2.20E-06	1.70E-06	2.00E-06	1.80E-06	3.90E-06	1.70E-06	2.80E-06	1.90E-06	2.20E-06	2.30E-06	1.90E-06	4.10E-06	2.70E-06	2.10E-06	3.10E-06	3.60E-06	4.90E-06	2.40E-06	4.40E-06	3.20E-06	3.50E-06	3.00E-06	2.70E-06	5.90E-06	7.40E-06	7.30E-06	8.80E-06	5.60E-06	7.10E-06
concentration of enzyme	b0910	cmk	2.00E-06	2.50E-06	2.20E-06	1.00E-06	1.90E-06	1.10E-06	3.00E-06	1.00E-06	2.30E-06	1.00E-06	1.50E-06	1.90E-06	9.00E-07	2.70E-06	1.50E-06	1.00E-06	2.40E-06	2.60E-06	2.50E-06	9.70E-07	2.80E-06	2.50E-06	1.70E-06	2.10E-06	1.10E-06	2.80E-06	4.20E-06	3.40E-06	3.10E-06	2.50E-06	3.40E-06
concentration of enzyme	b0914	msbA	3.50E-07	6.70E-07	6.60E-07	2.80E-07	3.50E-07	2.90E-07	3.10E-07	2.80E-07	3.60E-07	3.10E-07	3.10E-07	6.40E-07	2.90E-07	4.70E-07	3.10E-07	2.80E-07	3.60E-07	3.90E-07	6.10E-07	3.40E-07	4.50E-07	4.90E-07	2.50E-07	5.70E-07	3.20E-07	5.00E-07	3.20E-07	5.40E-07	2.80E-07	5.80E-07	2.30E-07
concentration of enzyme	b0914	msbA	3.50E-07	6.70E-07	6.60E-07	2.80E-07	3.50E-07	2.90E-07	3.10E-07	2.80E-07	3.60E-07	3.10E-07	3.10E-07	6.40E-07	2.90E-07	4.70E-07	3.10E-07	2.80E-07	3.60E-07	3.90E-07	6.10E-07	3.40E-07	4.50E-07	4.90E-07	2.50E-07	5.70E-07	3.20E-07	5.00E-07	3.20E-07	5.40E-07	2.80E-07	5.80E-07	2.30E-07
concentration of enzyme	b0914	msbA	3.50E-07	6.70E-07	6.60E-07	2.80E-07	3.50E-07	2.90E-07	3.10E-07	2.80E-07	3.60E-07	3.10E-07	3.10E-07	6.40E-07	2.90E-07	4.70E-07	3.10E-07	2.80E-07	3.60E-07	3.90E-07	6.10E-07	3.40E-07	4.50E-07	4.90E-07	2.50E-07	5.70E-07	3.20E-07	5.00E-07	3.20E-07	5.40E-07	2.80E-07	5.80E-07	2.30E-07
concentration of enzyme	b0918	kdsB	1.80E-06	1.00E-06	9.50E-07	1.30E-06	2.00E-06	1.40E-06	1.40E-06	1.30E-06	1.30E-06	1.60E-06	2.10E-06	1.00E-06	1.40E-06	1.80E-06	2.00E-06	1.30E-06	1.40E-06	1.80E-06	1.60E-06	1.60E-06	1.60E-06	1.30E-06	2.30E-06	1.30E-06	1.80E-06	1.60E-06	2.10E-06	1.90E-06	2.30E-06	1.90E-06	1.90E-06
concentration of enzyme	b0928	aspC	2.40E-05	1.60E-05	2.10E-05	5.90E-05	3.60E-05	6.10E-05	3.10E-05	6.30E-05	3.40E-05	6.20E-05	3.90E-05	2.80E-05	5.80E-05	3.30E-05	3.10E-05	5.20E-05	3.40E-05	3.90E-05	3.50E-05	4.90E-05	3.30E-05	3.30E-05	2.80E-05	3.00E-05	4.70E-05	3.60E-05	2.80E-05	2.50E-05	3.40E-05	3.10E-05	2.50E-05
concentration of enzyme	b0945	pyrD	5.90E-07	1.30E-06	1.50E-06	1.20E-06	1.00E-06	1.20E-06	2.70E-06	1.50E-06	2.70E-06	1.90E-06	1.60E-06	2.10E-06	2.20E-06	2.80E-06	1.80E-06	2.80E-06	3.80E-06	4.10E-06	3.40E-06	3.40E-06	3.90E-06	2.60E-06	2.70E-06	3.60E-06	4.00E-06	3.40E-06	3.80E-06	5.50E-06	4.10E-06	4.10E-06	3.70E-06
concentration of enzyme	b1062	pyrC	5.70E-06	6.10E-06	7.00E-06	1.00E-05	6.40E-06	1.00E-05	1.40E-05	1.20E-05	1.10E-05	1.20E-05	6.30E-06	9.60E-06	1.10E-05	1.50E-05	7.30E-06	1.20E-05	1.60E-05	1.70E-05	1.30E-05	1.20E-05	1.30E-05	1.30E-05	6.70E-06	1.30E-05	1.30E-05	1.40E-05	2.00E-05	1.60E-05	1.80E-05	1.50E-05	1.50E-05
concentration of enzyme	b1091	fabH	8.80E-06	5.80E-06	6.00E-06	4.80E-06	8.50E-06	4.50E-06	5.30E-06	4.60E-06	6.50E-06	4.40E-06	7.90E-06	5.80E-06	4.20E-06	7.90E-06	7.10E-06	4.10E-06	6.60E-06	4.80E-06	6.80E-06	4.20E-06	7.20E-06	5.20E-06	7.80E-06	5.40E-06	4.20E-06	5.90E-06	5.40E-06	7.50E-06	7.20E-06	5.40E-06	5.50E-06
concentration of enzyme	b1093	fabG	1.80E-05	9.30E-06	9.30E-06	2.10E-05	1.70E-05	2.10E-05	1.20E-05	2.20E-05	1.10E-05	2.10E-05	1.80E-05	1.00E-05	2.20E-05	1.30E-05	1.80E-05	2.20E-05	1.30E-05	1.60E-05	1.40E-05	2.20E-05	1.30E-05	1.30E-05	1.90E-05	1.10E-05	2.10E-05	1.40E-05	1.30E-05	1.70E-05	1.30E-05	1.30E-05	1.10E-05
concentration of enzyme	b1093	fabG	1.80E-05	9.30E-06	9.30E-06	2.10E-05	1.70E-05	2.10E-05	1.20E-05	2.20E-05	1.10E-05	2.10E-05	1.80E-05	1.00E-05	2.20E-05	1.30E-05	1.80E-05	2.20E-05	1.30E-05	1.60E-05	1.40E-05	2.20E-05	1.30E-05	1.30E-05	1.90E-05	1.10E-05	2.10E-05	1.40E-05	1.30E-05	1.70E-05	1.30E-05	1.30E-05	1.10E-05
concentration of enzyme	b1093	fabG	1.80E-05	9.30E-06	9.30E-06	2.10E-05	1.70E-05	2.10E-05	1.20E-05	2.20E-05	1.10E-05	2.10E-05	1.80E-05	1.00E-05	2.20E-05	1.30E-05	1.80E-05	2.20E-05	1.30E-05	1.60E-05	1.40E-05	2.20E-05	1.30E-05	1.30E-05	1.90E-05	1.10E-05	2.10E-05	1.40E-05	1.30E-05	1.70E-05	1.30E-05	1.30E-05	1.10E-05
concentration of enzyme	b1096	pabC		2.10E-07	2.50E-07				8.20E-08		1.10E-07			2.00E-07		1.30E-07			5.50E-08	7.00E-08	1.40E-07					1.40E-07			1.00E-07	9.90E-08	1.00E-07		8.80E-08
concentration of enzyme	b1098	tmk	2.70E-07	3.30E-07	3.50E-07		2.70E-07		2.20E-07		4.00E-07		2.70E-07	2.90E-07		5.00E-07	2.70E-07		4.10E-07	2.70E-07	5.40E-07		4.20E-07	3.40E-07	3.10E-07	4.40E-07		4.50E-07	3.80E-07	7.20E-07	3.10E-07	2.60E-07	3.90E-07
concentration of enzyme	b1131	purB	6.90E-06	3.50E-06	4.00E-06	8.40E-06	7.00E-06	8.40E-06	4.20E-06	9.20E-06	3.10E-06	9.60E-06	8.30E-06	4.60E-06	1.00E-05	6.10E-06	9.10E-06	1.10E-05	5.60E-06	7.60E-06	5.90E-06	1.20E-05	5.70E-06	5.80E-06	1.10E-05	6.80E-06	1.30E-05	7.60E-06	5.00E-06	6.80E-06	5.20E-06	8.40E-06	7.60E-06
concentration of enzyme	b1131	purB	6.90E-06	3.50E-06	4.00E-06	8.40E-06	7.00E-06	8.40E-06	4.20E-06	9.20E-06	3.10E-06	9.60E-06	8.30E-06	4.60E-06	1.00E-05	6.10E-06	9.10E-06	1.10E-05	5.60E-06	7.60E-06	5.90E-06	1.20E-05	5.70E-06	5.80E-06	1.10E-05	6.80E-06	1.30E-05	7.60E-06	5.00E-06	6.80E-06	5.20E-06	8.40E-06	7.60E-06
concentration of enzyme	b1136	icd	6.00E-05	8.10E-05	1.10E-04	1.60E-04	8.70E-05	1.60E-04	9.90E-05	1.70E-04	1.30E-04	1.70E-04	9.10E-05	1.20E-04	1.50E-04	1.40E-04	7.40E-05	1.40E-04	1.20E-04	1.10E-04	1.20E-04	1.20E-04	9.40E-05	1.30E-04	6.90E-05	1.10E-04	1.10E-04	1.20E-04	1.40E-04	1.20E-04	9.70E-05	8.10E-05	1.00E-04
concentration of enzyme	b1207	prs	1.40E-05	1.70E-05	1.70E-05	1.50E-05	1.60E-05	1.50E-05	2.30E-05	1.60E-05	2.40E-05	1.70E-05	1.70E-05	2.00E-05	1.70E-05	3.10E-05	1.50E-05	1.60E-05	3.30E-05	3.80E-05	3.00E-05	1.60E-05	3.00E-05	2.50E-05	1.60E-05	2.60E-05	1.60E-05	2.70E-05	2.50E-05	2.60E-05	3.00E-05	3.00E-05	2.50E-05
concentration of enzyme	b1208	ispE		4.90E-07	5.50E-07	4.00E-07			5.50E-07		6.90E-07			5.40E-07		7.60E-07			7.50E-07	6.60E-07	6.70E-07		8.40E-07	5.90E-07		5.60E-07		2.90E-07	5.40E-07	6.60E-07	7.40E-07	5.40E-07	7.50E-07
concentration of enzyme	b1215	kdsA	1.20E-05	8.80E-06	9.90E-06	1.70E-05	1.20E-05	1.70E-05	1.10E-05	1.70E-05	1.20E-05	1.70E-05	1.20E-05	1.10E-05	1.70E-05	1.00E-05	1.20E-05	1.60E-05	1.20E-05	9.30E-06	1.10E-05	1.60E-05	1.20E-05	7.80E-06	1.20E-05	1.20E-05	1.50E-05	1.10E-05	1.30E-05	9.40E-06	9.90E-06	9.80E-06	1.40E-05
concentration of enzyme	b1262	trpC	2.40E-06	1.70E-06	1.70E-06	2.90E-06	2.50E-06	2.60E-06	2.20E-06	2.70E-06	1.50E-06	2.80E-06	2.50E-06	1.90E-06	2.80E-06	2.60E-06	3.00E-06	3.10E-06	1.80E-06	1.80E-06	2.30E-06	3.30E-06	2.30E-06	1.90E-06	3.80E-06	2.10E-06	3.70E-06	1.80E-06	1.90E-06	2.80E-06	2.00E-06	2.80E-06	2.90E-06
concentration of enzyme	b1262	trpC	2.40E-06	1.70E-06	1.70E-06	2.90E-06	2.50E-06	2.60E-06	2.20E-06	2.70E-06	1.50E-06	2.80E-06	2.50E-06	1.90E-06	2.80E-06	2.60E-06	3.00E-06	3.10E-06	1.80E-06	1.80E-06	2.30E-06	3.30E-06	2.30E-06	1.90E-06	3.80E-06	2.10E-06	3.70E-06	1.80E-06	1.90E-06	2.80E-06	2.00E-06	2.80E-06	2.90E-06
concentration of enzyme	b1263	trpGD	1.10E-06	3.40E-06	3.70E-06	1.40E-06	9.50E-07	1.40E-06	2.90E-06	1.40E-06	2.30E-06	1.50E-06	9.80E-07	3.60E-06	1.60E-06	4.00E-06	1.60E-06	1.80E-06	2.60E-06	2.40E-06	3.80E-06	1.90E-06	4.20E-06	3.10E-06	1.60E-06	5.10E-06	2.10E-06	2.40E-06	2.20E-06	3.60E-06	2.30E-06	4.50E-06	4.80E-06
concentration of enzyme	b1277	ribA		4.80E-07	5.70E-07			5.00E-07	6.10E-07	5.70E-07	8.40E-07	5.10E-07		6.30E-07	5.40E-07	1.10E-06		5.90E-07	1.00E-06	7.20E-07	1.30E-06	4.70E-07	9.80E-07	7.20E-07		7.90E-07	5.40E-07	9.10E-07	1.20E-06	1.10E-06	1.50E-06	8.60E-07	9.40E-07
concentration of enzyme	b1281	pyrF	8.60E-07	1.50E-06	1.50E-06	1.20E-06	1.10E-06	1.20E-06	3.60E-06	1.40E-06	2.60E-06	1.40E-06	1.50E-06	2.00E-06	1.50E-06	3.80E-06	1.60E-06	1.50E-06	4.10E-06	4.90E-06	4.50E-06	1.80E-06	4.70E-06	3.70E-06	2.10E-06	3.10E-06	2.10E-06	4.80E-06	6.70E-06	5.30E-06	5.50E-06	5.20E-06	5.60E-06
concentration of enzyme	b1288	fabI	3.60E-05	1.30E-05	1.20E-05	3.40E-05	3.40E-05	3.60E-05	1.10E-05	3.50E-05	1.30E-05	3.60E-05	3.30E-05	1.30E-05	3.60E-05	1.60E-05	3.50E-05	3.60E-05	1.60E-05	1.30E-05	1.50E-05	3.80E-05	1.50E-05	9.90E-06	4.50E-05	1.40E-05	4.00E-05	1.10E-05	1.20E-05	1.80E-05	1.30E-05	1.20E-05	1.40E-05
concentration of enzyme	b1288	fabI	3.60E-05	1.30E-05	1.20E-05	3.40E-05	3.40E-05	3.60E-05	1.10E-05	3.50E-05	1.30E-05	3.60E-05	3.30E-05	1.30E-05	3.60E-05	1.60E-05	3.50E-05	3.60E-05	1.60E-05	1.30E-05	1.50E-05	3.80E-05	1.50E-05	9.90E-06	4.50E-05	1.40E-05	4.00E-05	1.10E-05	1.20E-05	1.80E-05	1.30E-05	1.20E-05	1.40E-05
concentration of enzyme	b1415	aldA	1.20E-04	1.90E-04	1.70E-04	1.70E-04		1.40E-04	1.30E-04	1.20E-04	7.50E-05	1.20E-04		1.30E-04	7.90E-05	1.10E-04		6.00E-05	1.10E-04	1.10E-04	6.60E-05	4.20E-05	6.30E-05	1.20E-04		7.10E-05	2.40E-05	2.20E-05	6.50E-06	1.20E-05	6.40E-06	3.20E-05	5.70E-06
concentration of enzyme	b1638	pdxH	2.90E-06	8.70E-07	9.50E-07	2.40E-06	3.10E-06	2.30E-06	1.00E-06	2.30E-06	1.00E-06	2.10E-06	2.70E-06	1.00E-06	2.10E-06	1.20E-06	2.70E-06	2.00E-06	1.20E-06	1.30E-06	1.00E-06	2.00E-06	1.10E-06	1.10E-06	2.70E-06	1.10E-06	2.00E-06	1.70E-06	1.50E-06	1.10E-06	1.50E-06	1.20E-06	1.50E-06
concentration of enzyme	b1662	ribC	1.70E-06	1.50E-06	2.10E-06	2.30E-06	2.00E-06	2.30E-06	2.20E-06	2.30E-06	2.70E-06	2.50E-06	2.40E-06	1.90E-06	2.70E-06	1.90E-06	2.40E-06	3.00E-06	1.90E-06	2.10E-06	2.70E-06	3.10E-06	2.30E-06	1.90E-06	2.50E-06	2.30E-06	2.90E-06	3.10E-06	3.70E-06	2.60E-06	2.90E-06	2.50E-06	3.50E-06
concentration of enzyme	b1693	aroD	1.00E-06	1.40E-06	1.50E-06	1.60E-06	1.20E-06	1.70E-06	2.20E-06	1.70E-06	1.90E-06	1.60E-06	1.00E-06	1.60E-06	1.50E-06	2.40E-06	8.10E-07	1.30E-06	1.90E-06	2.00E-06	2.70E-06	1.10E-06	2.30E-06	2.20E-06	8.80E-07	1.70E-06	1.10E-06	2.90E-06	3.30E-06	3.10E-06	4.20E-06	2.70E-06	3.40E-06
concentration of enzyme	b1740	nadE	7.30E-06	9.30E-06	9.70E-06	6.60E-06	7.10E-06	6.70E-06	1.20E-05	6.70E-06	1.00E-05	6.50E-06	7.80E-06	8.50E-06	6.10E-06	8.80E-06	6.50E-06	6.60E-06	9.30E-06	8.40E-06	9.80E-06	6.40E-06	1.20E-05	1.00E-05	7.60E-06	9.80E-06	6.60E-06	1.30E-05	1.60E-05	1.40E-05	1.40E-05	1.10E-05	1.20E-05
concentration of enzyme	b1761	gdhA	9.90E-06	1.40E-05	2.00E-05	2.00E-05	2.30E-05	2.00E-05	1.10E-05	2.40E-05	1.60E-05	2.40E-05	2.30E-05	2.50E-05	2.50E-05	1.50E-05	2.80E-05	2.60E-05	1.20E-05	1.40E-05	1.90E-05	2.70E-05	1.60E-05	1.60E-05	2.20E-05	3.00E-05	2.60E-05	2.00E-05	1.80E-05	2.20E-05	2.00E-05	2.10E-05	8.50E-06
concentration of enzyme	b1779	gapA	8.10E-05	7.00E-05	7.40E-05	1.60E-04	1.10E-04	1.50E-04	7.60E-05	1.50E-04	8.90E-05	1.60E-04	1.20E-04	9.00E-05	1.70E-04	8.50E-05	1.40E-04	1.80E-04	9.00E-05	9.50E-05	1.20E-04	2.00E-04	1.20E-04	1.00E-04	9.30E-05	1.30E-04	2.00E-04	1.40E-04	9.10E-05	1.70E-04	1.30E-04	2.10E-04	1.70E-04
concentration of enzyme	b1849	purT	1.70E-06	2.80E-06	3.60E-06	2.00E-06	1.60E-06	1.90E-06	5.70E-06	2.20E-06	3.20E-06	2.20E-06	1.70E-06	3.90E-06	2.30E-06	9.50E-06	2.80E-06	2.60E-06	5.00E-06	4.80E-06	6.50E-06	3.00E-06	5.40E-06	5.40E-06	2.90E-06	5.30E-06	3.40E-06	5.40E-06	6.00E-06	8.40E-06	5.70E-06	4.70E-06	7.50E-06
concentration of enzyme	b1852	zwf	6.80E-06	4.90E-06	4.20E-06	6.20E-06	6.70E-06	6.50E-06	5.50E-06	6.20E-06	2.70E-06	5.90E-06	6.00E-06	3.40E-06	6.00E-06	4.00E-06	5.50E-06	5.70E-06	3.30E-06	3.40E-06	4.30E-06	5.70E-06	4.50E-06	3.80E-06	5.40E-06	3.70E-06	5.50E-06	6.40E-06	4.70E-06	4.40E-06	5.40E-06	5.20E-06	6.20E-06
concentration of enzyme	b2019	hisG	4.80E-06	5.80E-06	7.30E-06	7.10E-06	7.30E-06	7.60E-06	7.70E-06	7.20E-06	4.40E-06	7.60E-06	8.90E-06	6.90E-06	8.40E-06	6.80E-06	8.90E-06	9.20E-06	6.50E-06	7.80E-06	6.40E-06	9.20E-06	1.10E-05	9.50E-06	1.20E-05	7.40E-06	9.70E-06	1.00E-05	6.70E-06	1.40E-05	7.60E-06	1.00E-05	1.10E-05
concentration of enzyme	b2020	hisD	2.70E-06	5.80E-06	7.20E-06	3.60E-06	3.00E-06	3.70E-06	6.30E-06	3.70E-06	4.70E-06	3.70E-06	3.50E-06	6.00E-06	4.10E-06	7.00E-06	4.00E-06	4.20E-06	5.80E-06	5.40E-06	6.60E-06	4.40E-06	9.40E-06	7.10E-06	4.10E-06	6.40E-06	4.40E-06	7.60E-06	8.50E-06	1.20E-05	8.20E-06	6.70E-06	1.40E-05
concentration of enzyme	b2021	hisC	3.40E-06	4.10E-06	5.50E-06	6.00E-06	3.90E-06	5.80E-06	6.60E-06	5.90E-06	2.90E-06	6.00E-06	4.90E-06	4.60E-06	6.30E-06	4.10E-06	5.20E-06	6.70E-06	3.60E-06	4.30E-06	4.80E-06	6.90E-06	6.20E-06	5.10E-06	6.40E-06	5.40E-06	6.70E-06	5.30E-06	5.10E-06	7.80E-06	6.00E-06	5.20E-06	8.10E-06
concentration of enzyme	b2022	hisB	3.80E-06	5.10E-06	6.40E-06	4.10E-06	4.30E-06	3.90E-06	6.30E-06	4.10E-06	3.80E-06	4.40E-06	5.10E-06	5.60E-06	4.80E-06	5.90E-06	6.50E-06	4.90E-06	5.50E-06	5.70E-06	5.00E-06	4.80E-06	8.70E-06	7.20E-06	6.60E-06	6.00E-06	5.30E-06	5.80E-06	4.40E-06	9.90E-06	4.40E-06	6.50E-06	8.00E-06
concentration of enzyme	b2022	hisB	3.80E-06	5.10E-06	6.40E-06	4.10E-06	4.30E-06	3.90E-06	6.30E-06	4.10E-06	3.80E-06	4.40E-06	5.10E-06	5.60E-06	4.80E-06	5.90E-06	6.50E-06	4.90E-06	5.50E-06	5.70E-06	5.00E-06	4.80E-06	8.70E-06	7.20E-06	6.60E-06	6.00E-06	5.30E-06	5.80E-06	4.40E-06	9.90E-06	4.40E-06	6.50E-06	8.00E-06
concentration of enzyme	b2024	hisA		3.00E-06	4.00E-06	9.40E-07		1.00E-06	3.50E-06	1.20E-06	3.00E-06	1.10E-06		3.70E-06	1.20E-06	5.30E-06		1.30E-06	4.00E-06	3.80E-06	4.60E-06	1.20E-06	6.20E-06	3.60E-06		3.70E-06	1.40E-06	2.70E-06	4.50E-06	7.50E-06	3.60E-06	3.70E-06	5.00E-06
concentration of enzyme	b2026	hisI	7.40E-07	2.10E-06	2.70E-06	4.20E-07	1.10E-06	3.80E-07	3.30E-06	3.90E-07	1.90E-06	4.70E-07	1.20E-06	2.40E-06	5.10E-07	3.60E-06	1.70E-06	5.50E-07	2.80E-06	3.90E-06	3.90E-06	5.60E-07	5.00E-06	4.10E-06	1.90E-06	2.70E-06	6.50E-07	5.10E-06	4.90E-06	6.70E-06	5.30E-06	5.20E-06	7.00E-06
concentration of enzyme	b2026	hisI	7.40E-07	2.10E-06	2.70E-06	4.20E-07	1.10E-06	3.80E-07	3.30E-06	3.90E-07	1.90E-06	4.70E-07	1.20E-06	2.40E-06	5.10E-07	3.60E-06	1.70E-06	5.50E-07	2.80E-06	3.90E-06	3.90E-06	5.60E-07	5.00E-06	4.10E-06	1.90E-06	2.70E-06	6.50E-07	5.10E-06	4.90E-06	6.70E-06	5.30E-06	5.20E-06	7.00E-06
