Gene,Glucose,LB,Glycerol + AA,Acetate,Fumarate,Glucosamine,Glycerol,Pyruvate,Chemostat µ=0.5,Chemostat µ=0.35,Chemostat µ=0.20,Chemostat µ=0.12,Stationary phase 1 day,Stationary phase 3 days,Osmotic-stress glucose,42°C glucose,pH6 glucose,Xylose,Mannose,Galactose ,Succinate,Fructose,Glycerol,Pyruvate,Chemostat µ=0.5,Chemostat µ=0.35,Chemostat µ=0.20,Chemostat µ=0.12,Stationary phase 1 day,Stationary phase 3 days,Osmotic-stress glucose,42°C glucose,pH6 glucose,Xylose,Mannose,Galactose ,Succinate,Fructose
dhaM,340,354,667,69,79,229,447,130,157,93,80,66,133,137,454,520,390,389,138,115,75,233,6.16,17.66,7.63,10.40,3.48,9.13,24.40,6.82,2.32,11.95,5.24,8.18,2.84,3.88,5.60,14.77
dppD,367,434,1222,389,656,565,585,660,520,490,424,376,150,169,332,608,481,423,559,415,665,582,7.56,12.75,9.87,5.12,5.70,8.86,58.34,9.09,11.47,15.61,2.70,14.31,4.57,5.18,5.81,5.07
rsgA,374,392,377,196,289,300,327,310,248,203,169,187,160,154,294,432,286,319,262,216,243,282,9.14,11.58,3.23,6.60,8.98,2.57,11.89,7.51,17.31,24.76,7.35,5.76,4.70,6.90,8.98,2.19
cpdB,134,536,379,262,257,249,198,221,247,281,223,206,118,85,116,178,116,202,265,189,286,183,1.83,7.85,1.98,6.10,10.98,5.68,8.98,21.70,25.74,24.46,6.26,22.61,9.02,10.51,14.09,3.00
selA,181,140,188,107,164,186,185,215,199,160,134,138,97,118,152,150,182,219,182,156,189,224,7.25,16.64,4.37,7.04,9.69,4.97,0.83,8.03,30.57,16.05,6.56,14.99,5.76,20.43,13.67,14.87
glnD,126,280,197,112,145,140,141,162,168,157,140,134,59,56,108,152,106,136,148,118,181,147,5.55,16.42,2.99,8.40,8.86,2.45,19.27,1.86,9.37,5.80,2.74,11.46,5.04,6.59,4.82,1.95
ddlA,140,897,770,97,89,109,91,113,83,60,39,34,163,143,298,183,225,245,82,62,98,130,6.04,11.76,8.99,7.41,2.77,2.59,19.88,3.87,3.91,14.81,11.47,10.24,25.17,16.74,22.44,5.95
hflX,239,437,248,171,208,191,299,266,262,211,184,180,108,113,191,259,205,224,296,197,228,343,4.06,14.07,14.44,3.88,11.11,3.47,9.56,24.13,15.63,25.84,11.85,9.98,6.96,13.73,16.36,9.51
cysB,523,620,604,303,408,544,403,338,451,332,263,240,202,133,263,445,473,358,317,278,351,360,5.98,19.53,8.23,3.50,9.69,8.83,41.83,30.55,26.02,14.53,21.13,13.98,10.82,20.01,4.29,5.52
phoU,338,587,558,203,349,312,486,413,412,348,311,272,141,157,203,314,323,363,351,351,346,333,15.27,5.33,8.00,11.85,4.43,17.04,6.87,3.32,6.84,7.82,9.50,5.39,7.30,5.91,6.83,9.25
yfeX,489,1098,782,426,488,423,530,540,533,529,406,357,136,122,594,950,549,493,419,313,388,456,4.52,14.23,6.53,4.24,6.09,11.26,11.85,3.02,3.06,13.21,15.05,5.99,14.37,1.66,9.06,10.15
nuoE,748,5284,3004,785,1507,1660,1398,1192,1076,1331,1291,1058,187,214,554,805,924,793,1287,908,1356,1074,6.39,8.70,17.90,1.17,6.33,5.16,24.89,26.51,9.77,20.01,4.17,16.33,9.41,3.73,4.66,8.86
mdtE,13,24,11,26,9,7,10,8,8,9,7,8,95,95,18,33,279,13,8,7,7,7,8.21,3.13,27.38,31.83,23.51,13.09,7.06,9.83,24.03,38.22,12.98,18.51,11.05,12.03,19.67,9.57
hmp,149,349,277,44,102,108,84,85,144,99,71,41,68,86,1015,230,140,168,141,54,106,130,4.34,31.14,10.15,8.54,15.08,9.06,35.54,21.87,16.97,6.18,6.32,31.68,8.49,4.47,33.13,9.81
yniC,519,885,827,362,447,471,429,482,343,260,206,142,137,150,410,506,351,427,387,244,396,481,1.91,3.68,1.20,7.46,5.45,3.00,17.36,10.72,8.73,7.68,10.60,7.97,13.98,8.77,11.56,2.28
relA,64,98,75,52,53,71,59,80,100,92,97,95,61,42,76,92,65,71,63,47,48,73,2.80,37.85,14.23,10.60,9.99,1.40,13.05,1.18,18.21,20.96,5.20,20.51,8.35,14.75,7.48,9.67
dppF,309,235,1604,416,744,460,575,641,569,558,453,435,44,65,171,504,427,501,542,403,737,551,3.83,5.52,5.25,8.27,2.23,5.59,39.20,20.50,16.61,12.24,4.40,8.70,5.59,4.73,7.57,2.69
fdhE,373,1583,405,208,225,334,236,293,267,264,191,171,374,56,378,362,350,281,278,231,280,249,19.56,6.35,9.46,16.24,0.91,5.43,44.87,44.24,10.57,9.42,1.26,32.94,24.86,29.98,15.84,12.70
lpp,48939,65769,62401,41895,52381,78662,47094,40624,57441,59981,43689,41916,139676,81302,69550,57148,72294,71431,44925,37621,51325,53085,9.41,26.32,12.35,6.32,5.62,13.59,9.38,10.88,13.68,14.51,4.37,16.30,3.14,13.95,2.85,4.00
uspA,37520,30073,27116,42810,30104,35266,33285,55564,45855,48443,55625,53570,13250,20160,44183,31152,25681,39232,51638,34691,24290,31448,3.51,18.11,7.45,11.35,15.74,1.62,25.69,3.37,27.55,40.54,31.38,7.09,5.69,7.88,19.99,21.64
pal,18234,21384,41190,12382,14372,21817,16182,12231,18801,14039,8776,5889,16579,15193,20806,17270,22087,23023,14028,8638,16354,17602,4.36,8.55,4.38,0.36,4.41,1.17,2.18,5.60,13.71,10.86,3.38,10.98,2.93,3.39,17.61,9.43
rpsJ,39792,103703,67671,16172,23086,26327,28416,22616,15959,11246,8437,7300,17530,18468,32315,37190,34758,34665,23769,15396,24910,33467,5.12,3.97,2.78,3.92,7.87,6.56,4.48,8.34,6.13,9.50,5.54,4.30,2.57,12.67,10.53,3.35
rplX,49826,124761,85603,18421,30832,34179,35995,28362,30075,19183,15098,11736,12340,17271,43523,48141,45590,43091,32022,21417,34170,48202,1.85,6.02,0.24,2.91,6.00,2.94,6.03,5.66,6.28,11.22,3.00,6.42,2.53,2.61,4.03,2.86
rplD,21084,49874,32571,8448,14307,15594,17090,12278,15362,9934,7428,7100,8557,8382,16370,19642,16859,21040,15208,11310,17718,25286,9.10,8.58,5.42,5.79,1.84,9.43,9.22,5.25,7.07,4.92,9.49,2.63,6.26,8.47,5.46,2.79
yajQ,10057,10699,14430,6357,7517,8787,7733,8010,8008,6578,5915,6386,7152,7357,12352,12640,13272,8961,7248,7202,6753,8699,5.48,8.62,6.37,5.04,2.11,6.23,7.42,3.01,10.87,3.27,3.61,5.48,2.64,9.98,4.06,1.05
rplQ,18397,46700,33515,6185,10243,13517,14757,10104,11020,7258,5663,4821,6916,9235,17097,18386,19921,16349,12528,8663,12862,19454,8.42,6.55,1.70,2.25,3.89,1.98,6.68,9.79,4.92,9.87,9.05,8.33,9.58,2.38,4.74,3.79
ppa,8350,14365,12756,5608,7636,8021,7571,6701,5921,5403,4449,4117,6679,6391,11137,10324,10468,9614,8214,7074,8041,9208,1.06,5.13,10.79,2.72,6.19,5.24,10.43,2.30,9.95,3.38,7.54,7.60,4.89,10.34,3.30,4.60
rpsM,23450,72767,39835,12255,16267,21922,21550,14456,20459,13509,9839,8541,8993,8094,15911,20691,23096,20500,13696,12913,16007,23642,6.74,29.78,7.97,1.66,8.02,0.84,3.43,3.47,10.63,8.72,15.33,10.16,2.52,23.15,3.77,0.93
ycaC,1884,998,1416,1751,3686,2727,2658,3071,1886,1952,2602,3213,3848,4317,3329,2285,5705,1636,3138,5615,3353,1622,5.85,11.30,11.61,8.77,2.98,1.10,20.69,8.12,7.13,10.05,10.01,11.70,4.94,26.34,35.59,5.94
potF,3029,1192,2078,2600,3574,2997,4361,4070,2849,2764,2820,2949,2244,2394,2931,2218,3636,2500,2861,3486,3170,3279,5.00,5.34,4.27,4.45,2.79,7.00,4.89,7.89,8.77,14.00,7.32,6.98,2.13,17.36,11.84,3.12
rplN,7098,24357,16828,3744,5696,6445,7100,4228,8878,5302,4289,3851,3426,4441,7074,9119,8124,7094,3898,4125,5727,8585,5.53,18.20,10.61,5.37,7.32,8.06,21.38,26.89,9.99,10.33,8.48,7.63,15.19,10.33,10.26,6.38
artJ,9359,1294,2327,3130,4045,4802,5092,4398,4403,3477,4719,5510,1870,2150,4851,7768,4860,3735,4305,4041,3875,5880,4.86,7.16,2.01,0.82,5.59,3.06,3.99,5.75,7.51,9.06,3.18,2.49,9.00,8.87,7.19,4.27
hchA,628,848,300,1217,774,1038,602,344,530,573,701,816,2156,1765,1211,2571,1864,413,719,842,527,462,5.29,17.97,20.70,4.81,5.21,6.52,15.54,23.43,8.45,6.84,12.07,21.49,7.47,5.50,22.58,7.70
dsbA,4138,4121,5262,2134,3169,3111,4309,3611,2684,1913,1553,1202,2012,2075,3201,4545,3569,2978,2993,2021,3224,4239,10.77,14.38,6.69,2.96,7.30,6.33,3.44,4.48,6.31,4.92,15.88,1.93,13.32,5.73,3.81,4.46
cyoB,957,2424,1909,848,1002,1113,929,1740,1466,1133,896,841,514,633,787,1331,964,1086,1025,365,1097,1340,6.96,32.51,7.95,3.83,8.16,3.13,7.90,20.81,20.01,27.91,0.43,4.62,12.85,26.29,4.61,14.24
folD,1861,1452,2492,1227,1384,1865,1589,1375,1397,1077,829,704,1527,1399,2496,2264,2782,2040,1312,1125,1385,1769,5.75,7.48,3.03,1.33,4.57,3.72,6.17,5.19,5.94,9.65,7.15,10.43,4.74,3.68,2.78,6.39
rpiA,2758,4467,3605,2367,2691,2340,2446,2578,2774,2216,1905,1600,1901,1899,3665,3837,2992,3031,2102,1956,2175,2279,2.39,4.74,1.29,7.11,0.74,3.11,6.67,4.31,10.88,20.60,9.09,14.27,4.52,8.32,1.64,11.47
ybaB,6880,11963,9845,3611,5005,5221,5855,5501,4956,3480,2800,2590,3149,3267,7769,7447,7196,6038,5206,3434,5491,6422,2.50,8.59,1.60,5.36,6.86,8.50,7.23,6.52,14.08,17.20,1.67,6.85,4.00,1.66,10.92,9.00
purM,2544,564,2487,1193,2053,2251,2295,2786,2092,1223,986,710,946,1015,2657,2717,2645,2142,1702,1752,1827,2376,4.54,8.96,1.48,5.75,10.06,4.83,1.92,2.74,2.35,7.50,2.52,4.49,5.00,5.99,4.93,9.03
ybhC,1377,1546,1436,797,1071,1051,1100,1360,916,716,652,551,726,774,1388,2515,1787,1074,928,698,1109,1255,6.82,7.33,11.26,6.93,12.50,12.12,23.93,17.18,5.65,13.72,7.27,12.10,4.13,7.90,13.11,5.08
sseA,821,2205,1388,1264,1542,1391,1142,1616,1073,1070,1173,1304,702,1013,1258,893,1326,1010,1506,1352,1346,988,1.60,9.27,2.88,5.03,7.66,2.57,34.96,3.56,5.42,5.91,3.67,11.59,9.01,11.93,1.96,2.94
yidC,842,2030,1523,486,714,840,866,843,1081,816,729,672,331,459,533,897,858,791,888,502,729,1091,17.75,24.94,9.85,3.07,7.72,1.32,12.65,8.53,43.41,13.07,20.77,6.75,23.26,15.29,14.31,6.22
sufC,628,298,560,394,442,527,530,619,359,271,245,196,1002,820,2282,1139,1042,1038,603,521,451,641,3.07,12.91,10.92,8.99,5.95,8.20,14.86,6.30,15.74,11.35,11.06,8.43,9.07,18.68,16.63,9.08
pyrF,1507,1017,906,586,1027,1181,1239,948,821,471,318,284,999,855,1867,1646,1607,1343,967,781,1255,1516,6.22,2.32,6.39,11.97,8.10,6.76,9.78,5.18,6.07,6.54,1.20,5.15,3.03,11.00,3.28,8.46
yggX,3446,4247,3110,1613,2310,3243,2789,2659,2255,1955,1768,1519,2343,1983,4823,4561,3878,4014,2544,2526,2282,3400,2.57,10.88,5.68,5.28,3.95,2.67,4.64,17.20,7.63,15.26,2.24,4.83,4.00,4.99,2.09,4.11
cydA,344,1399,659,428,400,663,518,338,747,772,883,1036,418,356,290,775,686,661,470,396,439,684,19.54,37.24,7.87,3.07,13.75,3.87,17.02,5.07,20.83,17.77,6.43,3.99,13.99,12.85,17.20,7.49
sufB,266,224,274,215,345,348,255,273,226,359,353,223,379,375,813,530,360,543,309,443,246,311,9.33,5.98,0.30,7.68,0.90,10.89,21.20,13.01,5.47,11.20,7.22,16.30,0.55,3.34,2.28,11.07
ybeL,540,658,456,463,616,695,639,514,386,493,615,690,943,1012,593,1028,753,420,655,888,636,546,4.51,9.98,15.17,9.90,6.30,3.50,2.61,4.10,13.17,22.67,11.79,5.62,10.48,15.98,17.53,14.28
fmt,715,1587,1525,631,699,818,766,761,574,425,432,362,475,516,858,757,897,930,534,515,541,663,12.56,24.13,3.59,18.16,11.02,7.97,13.77,12.69,4.80,30.34,15.87,11.19,11.64,8.86,10.03,6.79
nlpA,1867,358,663,1213,1060,1613,1555,822,1404,976,822,697,859,593,1276,1498,1114,1629,1098,947,1059,1559,7.07,3.78,6.59,5.67,6.87,7.29,7.83,11.66,16.74,4.66,20.55,5.47,4.81,14.19,7.79,8.73
lptB,1635,2132,2060,917,1394,1162,1419,1415,1144,970,951,880,618,577,1128,1216,1207,1143,1091,1010,1116,1308,4.40,9.32,13.88,5.75,7.84,10.98,4.07,11.87,4.06,14.79,2.98,17.18,4.63,13.12,4.15,3.46
murC,435,671,438,321,330,316,342,397,283,210,204,144,288,286,418,631,513,456,359,242,361,398,6.21,8.18,3.00,6.40,7.62,6.18,12.60,3.29,5.11,9.30,7.64,4.94,7.40,5.99,6.43,23.33
aroC,798,469,539,518,659,624,690,638,722,623,503,420,393,389,895,773,699,836,591,613,676,774,6.26,5.57,8.21,4.80,2.70,6.04,8.94,10.76,3.83,8.39,15.27,4.94,7.77,3.47,6.44,4.31
narL,1239,1765,1328,1109,1202,1542,1284,1041,935,809,748,490,804,632,1300,1633,1290,1151,1389,1186,1078,1063,7.50,0.96,8.83,10.35,8.14,9.37,7.19,13.84,23.02,35.19,5.28,8.85,12.70,5.90,10.47,3.66
btuE,1158,890,1111,1221,1135,1294,1184,736,905,968,1021,867,747,714,1928,827,1730,857,1032,1319,878,779,3.36,15.59,11.65,0.72,5.50,2.99,22.37,2.75,9.70,5.80,5.97,8.21,3.81,8.70,19.36,3.13
suhB,1439,3468,1812,730,938,941,981,749,955,646,546,494,431,456,1006,1210,1058,1050,871,594,827,1116,1.14,5.46,4.73,5.53,4.30,1.07,8.08,4.25,7.35,9.28,6.93,3.93,4.30,4.79,1.59,5.89
yejK,833,1147,1095,480,726,585,666,571,635,557,484,516,396,347,580,648,593,750,763,611,774,853,9.09,3.24,4.89,10.55,3.64,5.39,6.45,1.24,24.17,7.13,0.29,6.28,13.53,5.50,6.55,6.83
pspA,934,747,689,803,775,706,1374,1106,740,631,516,429,529,495,701,987,773,888,972,622,847,1160,13.34,49.05,11.60,10.01,22.80,11.76,16.81,10.90,6.01,9.42,3.53,20.44,15.59,17.42,12.28,5.26
ghrA,1020,1383,1428,727,859,873,991,847,951,809,706,546,335,351,814,864,726,1064,1026,777,981,1073,5.45,1.79,4.86,9.11,8.80,5.39,8.51,18.48,28.37,9.84,11.15,15.31,6.94,17.57,7.42,3.60
gstA,685,412,505,856,779,845,787,872,770,824,865,772,574,539,1074,673,888,672,786,872,615,579,6.25,11.65,17.51,6.47,0.49,2.08,6.10,12.82,9.56,15.37,10.08,19.95,8.95,6.94,12.65,9.78
lsrF,88,117,122,266,336,129,67,106,104,182,357,667,319,384,140,98,90,120,90,250,253,176,10.03,11.77,5.02,7.17,7.65,7.21,15.46,8.38,5.35,38.43,11.64,11.48,8.87,5.71,26.98,38.08
thrB,594,442,298,380,454,690,442,841,327,208,176,151,504,320,1521,583,835,1172,231,305,400,712,10.01,22.98,17.38,27.68,14.74,10.18,17.97,16.74,5.68,35.75,6.89,21.41,8.59,15.23,14.11,27.23
murF,530,850,664,509,487,336,475,496,417,272,232,191,213,200,445,524,557,426,337,238,263,311,5.10,11.77,15.38,9.43,15.01,8.45,4.94,17.04,7.27,8.59,11.37,8.76,8.30,10.31,8.36,10.49
yhhX,424,792,608,334,369,386,412,405,324,312,243,236,347,237,559,485,603,461,310,292,356,407,6.17,8.02,10.48,8.85,5.89,5.61,8.36,14.50,9.47,35.15,8.06,16.45,11.99,4.66,2.62,15.39
ygdH,199,597,296,183,245,218,231,161,247,238,208,193,165,178,178,137,314,261,209,197,223,209,2.25,19.92,5.92,2.09,10.30,8.69,31.18,11.95,28.52,14.00,13.01,9.94,15.96,23.22,8.55,17.93
xthA,658,834,796,441,612,566,504,502,414,487,417,426,277,286,629,508,424,415,591,467,478,440,4.37,4.23,1.44,6.20,3.36,7.66,7.70,4.38,14.49,10.79,7.30,8.74,9.16,7.56,9.13,3.49
fadA,425,526,463,834,1138,842,508,1044,578,1218,1463,1285,280,214,265,257,242,357,1254,1288,962,353,5.70,12.73,15.10,1.59,5.21,0.67,7.26,1.34,5.04,20.29,32.82,5.06,2.07,10.65,15.51,12.35
pstS,305,301,398,230,373,421,464,425,304,264,227,200,224,236,365,464,661,416,361,296,393,380,2.31,13.56,17.95,6.66,4.36,5.68,23.25,4.32,6.02,26.21,1.65,5.71,7.11,6.23,8.52,16.41
dsbC,1421,1356,1195,475,711,505,626,1072,404,273,235,193,297,307,699,680,731,465,472,364,396,637,11.53,30.62,9.18,4.45,23.26,2.90,8.41,4.19,34.42,30.21,13.30,10.81,11.50,4.69,5.57,10.62
rsmH,374,498,383,308,301,282,332,430,232,185,163,165,210,222,356,556,451,449,369,302,354,439,2.10,13.85,2.00,14.67,6.79,2.28,18.31,5.01,13.22,10.62,6.56,17.15,6.76,12.53,4.37,6.58
hdhA,197,200,202,363,254,268,234,200,217,255,303,272,313,281,491,717,845,301,298,318,255,211,7.23,4.89,10.12,2.97,3.32,7.49,16.00,9.55,12.64,16.16,7.18,5.56,9.93,2.43,8.06,7.64
aroK,2112,3205,2406,887,1208,1304,1222,1058,1064,767,591,467,265,331,1725,2009,1533,1511,1247,809,1300,1555,2.97,8.52,7.35,5.45,7.19,7.77,18.93,3.83,11.71,8.73,15.12,7.23,2.89,8.81,3.74,14.59
gstB,627,364,700,802,571,672,594,597,979,943,1035,804,223,265,838,373,638,502,445,617,339,432,6.74,8.95,11.98,15.10,12.69,4.99,23.96,17.99,18.23,52.65,18.38,26.08,14.52,2.70,13.25,13.14
nagC,124,234,186,100,110,137,124,104,162,137,143,140,108,117,148,231,138,143,115,172,98,129,5.30,18.04,1.80,5.32,4.36,6.58,7.62,10.53,56.33,30.83,9.16,6.16,3.46,25.26,7.89,15.90
ltaE,316,411,411,449,365,310,368,333,384,438,435,343,160,139,304,340,321,394,334,385,379,340,1.94,11.36,3.37,1.52,6.27,3.57,22.11,17.44,13.96,3.43,6.69,5.12,7.60,10.90,4.27,8.04
hemC,224,732,691,135,183,225,436,223,165,167,161,118,137,147,222,231,251,194,202,188,197,187,12.12,8.84,9.82,3.36,9.06,7.92,21.02,19.22,42.41,8.85,5.44,13.87,6.67,13.61,5.11,5.69
rsmI,383,513,336,243,259,271,295,322,224,187,155,132,160,154,310,299,261,302,269,224,233,283,6.86,4.68,5.56,5.95,5.62,7.70,6.90,12.49,9.28,35.44,3.34,7.61,7.98,8.90,7.12,5.38
hemY,144,323,233,125,183,175,176,200,222,223,207,200,107,105,131,200,120,151,185,139,170,161,5.14,12.20,1.34,4.14,8.38,3.93,25.92,3.47,2.69,16.40,7.16,1.71,10.53,15.01,10.56,8.04
mrcB,91,104,104,55,67,92,83,124,116,117,116,116,59,53,48,103,99,106,132,59,79,137,22.45,59.70,16.16,4.13,9.94,5.09,59.68,19.01,33.00,26.29,12.78,7.57,6.36,14.64,15.79,8.57
dadA,51,1095,1071,163,77,74,86,172,193,119,63,64,103,96,152,125,306,330,140,83,135,259,6.87,9.73,16.99,9.69,11.87,4.93,22.52,10.55,19.75,9.56,10.18,33.60,5.73,22.39,12.68,21.76
lexA,560,1027,755,479,586,636,626,442,536,451,432,350,185,197,618,465,587,560,722,512,637,662,5.89,9.29,7.56,1.38,5.97,8.49,21.29,19.12,6.93,17.70,10.12,5.82,20.73,2.84,6.38,5.06
ubiG,1335,1404,1455,975,1158,1062,1118,869,1032,796,659,423,148,160,909,612,827,904,1043,538,1062,862,5.28,32.21,6.18,4.00,7.05,4.28,14.00,16.05,6.25,52.51,19.76,3.00,22.70,13.77,8.24,25.97
ilvN,1075,2811,2680,1846,1539,2082,2203,634,2551,2055,2011,2416,1387,358,2793,1156,1239,2069,1346,1382,1781,1604,8.11,12.29,14.31,4.32,9.04,7.30,9.38,64.75,3.32,38.14,9.77,39.54,7.85,19.87,4.48,20.91
dnaB,207,320,232,162,130,137,128,131,130,125,82,75,71,71,159,147,126,154,125,108,129,164,2.30,9.21,10.14,22.50,27.22,12.64,15.01,4.86,0.48,19.13,7.05,6.00,4.18,3.72,4.49,3.60
fadJ,24,87,96,97,60,171,35,108,268,116,210,191,39,45,20,19,17,34,87,37,44,34,34.25,31.87,52.89,72.45,44.21,8.25,43.11,9.77,5.89,42.89,5.36,15.74,34.70,23.43,22.28,8.01
mdoB,77,171,148,54,92,64,88,113,97,93,76,57,45,40,28,68,41,69,118,44,100,112,10.64,26.70,8.40,8.12,10.88,6.48,51.70,21.36,5.65,21.30,29.55,16.53,11.20,6.68,4.92,14.92
yhbJ,231,225,152,165,225,208,224,220,213,201,209,187,96,105,202,355,254,247,238,216,210,236,3.40,9.10,7.45,1.63,6.95,3.10,3.38,11.02,28.13,7.78,12.51,10.83,8.61,4.28,14.22,9.47
leuD,5119,461,891,6651,4886,6165,5192,3651,4035,5594,5439,6736,153,149,3855,2555,1685,5647,5465,5225,6295,5500,8.57,10.28,14.75,5.07,7.36,8.72,2.11,32.72,14.46,21.91,20.04,7.04,7.42,2.37,5.30,10.40
uup,156,420,256,95,93,120,111,106,143,110,86,70,37,45,105,117,112,126,127,77,116,157,5.59,16.76,14.57,12.98,6.48,4.21,26.52,21.13,29.14,23.88,13.59,8.72,15.01,16.26,5.15,10.57
ydcJ,43,61,66,55,126,62,84,50,67,79,106,142,73,59,41,49,60,37,59,98,65,44,31.22,17.24,9.36,21.29,6.80,15.69,24.50,27.98,5.81,54.17,44.79,17.00,37.90,10.47,32.71,24.49
fadH,43,134,98,184,191,108,112,163,138,181,198,170,32,38,39,53,99,61,133,113,112,76,3.09,7.44,5.06,8.66,8.58,5.38,16.03,16.61,56.82,18.71,11.06,12.28,9.88,6.91,12.40,8.73
yaaA,803,1105,907,432,519,747,599,570,462,366,290,183,107,89,535,674,541,738,651,387,538,835,7.79,4.57,4.61,5.63,7.39,9.95,33.60,21.85,18.39,7.02,11.29,3.46,5.62,5.85,3.70,7.29
hrpA,32,60,42,20,21,32,23,24,37,28,28,24,11,15,16,37,23,26,26,18,24,37,7.59,36.37,10.04,3.99,7.64,7.42,13.34,5.02,33.47,11.82,11.64,13.01,16.86,26.37,15.72,18.48
oppD,144,736,1303,84,172,168,142,165,178,172,127,135,60,56,120,135,137,200,110,83,153,130,1.49,18.03,2.54,16.49,12.05,4.70,6.23,38.56,23.58,37.96,8.25,13.94,4.03,22.03,9.07,15.16
fadI,23,92,49,131,115,65,54,153,124,153,157,147,28,43,29,21,11,50,101,77,78,93,12.20,14.41,9.74,1.23,8.79,2.89,26.15,23.54,28.47,35.64,55.73,10.77,11.53,15.27,17.16,9.77
entC,193,57,156,73,78,59,61,84,94,64,32,20,36,36,1065,129,172,403,57,20,56,73,11.58,12.42,10.91,23.68,28.86,21.60,44.26,12.55,8.47,36.26,25.34,17.88,16.37,30.75,77.30,3.89
mqo,146,255,89,47,13,19,12,222,10,10,14,9,20,24,181,29,46,304,14,28,29,131,41.89,7.96,27.75,9.04,34.10,25.87,55.69,31.28,20.77,15.42,22.24,12.32,17.13,42.60,26.82,14.05
dsdA,67,1431,88,28,31,32,29,22,29,20,29,20,39,21,48,76,60,29,25,15,16,23,12.30,9.13,20.62,13.76,29.50,19.36,62.16,23.26,3.51,21.80,11.60,18.43,8.63,6.50,4.33,11.64
rimO,326,809,404,112,172,161,179,132,160,119,74,55,19,16,83,196,104,170,132,74,183,213,2.42,6.92,1.39,7.06,5.31,7.97,38.63,38.80,12.33,5.78,10.56,19.39,6.75,16.84,10.40,6.15
csiD,56,636,619,251,218,208,226,257,329,233,181,151,13,19,45,45,51,45,136,146,145,57,10.89,4.65,22.95,11.14,7.88,8.23,11.12,14.32,9.26,15.28,22.26,21.35,23.22,11.53,43.94,55.71
ydeN,14,147,55,136,117,527,39,84,91,133,121,72,11,11,37,18,29,26,195,266,94,18,11.25,3.72,7.19,9.64,12.07,6.39,30.27,30.04,149.78,21.02,37.49,12.82,5.13,43.72,8.11,31.66
nadA,368,65,1146,221,186,234,227,230,314,241,152,104,8,8,230,552,365,210,241,97,177,272,6.01,12.87,18.37,14.71,4.75,7.69,46.33,30.79,15.86,28.59,13.37,14.94,4.69,11.77,9.55,8.84
fliC,3,5,26,3,36,199,17,4,148,538,125,12,9,4,12,6,3,5,27,16,41,10,33.50,22.83,28.92,17.76,11.74,7.66,20.87,45.35,47.96,40.10,76.35,22.98,35.46,59.87,137.53,73.81
osmY,10489,5064,6777,6009,3645,9120,5204,2656,5095,3150,3010,2452,38846,27274,38126,12896,38124,7446,5372,4802,3274,6326,5.67,12.59,29.57,4.81,5.51,4.24,1.75,15.55,11.27,11.16,9.69,30.03,9.74,8.66,15.55,10.04
ompX,22443,25278,13367,6152,5648,8640,8241,5475,5305,3690,3364,2847,11782,22838,33362,19135,34300,19546,7763,7081,5377,12511,6.00,8.80,4.65,2.96,2.47,3.29,4.37,7.22,4.47,18.07,3.39,17.96,3.80,5.85,7.66,11.77
rplJ,34448,87283,58270,14819,22663,25318,28260,19565,22631,14446,12848,9878,17512,16954,33767,33399,34162,31998,19984,15860,24014,32861,7.40,6.80,3.64,3.92,9.02,3.07,2.39,6.86,7.15,12.36,8.59,2.39,10.14,4.44,8.46,7.49
rplM,31492,74846,49501,13480,21165,23871,24514,18322,21083,14032,10619,8508,14617,13254,29300,33319,31278,28117,20837,14141,22223,30872,4.08,5.92,5.17,9.08,4.26,4.07,10.18,4.22,13.37,5.53,7.01,7.95,1.79,6.55,7.03,2.23
slyB,14116,17259,17652,9998,11241,11486,13810,12760,9203,8284,8146,8728,13372,12104,15266,17024,18348,10959,10843,9001,10213,13390,8.11,19.74,6.90,8.07,6.08,3.89,10.58,8.31,9.16,8.04,9.99,2.00,1.11,3.19,5.49,11.31
pyrI,19076,3040,2441,12205,22168,18039,20656,12007,21282,13699,8248,6717,10332,10178,24335,13728,21077,16664,15268,19667,23854,18076,8.45,6.02,6.63,5.97,7.09,3.16,9.06,14.24,10.70,7.01,5.93,4.59,8.65,4.90,5.95,12.84
osmE,4610,3304,4605,6882,6596,6053,5306,3769,8216,8717,11727,11560,11780,13695,17256,6831,8149,5404,5502,11728,4737,3098,11.44,3.52,10.58,7.05,4.17,7.39,23.05,8.80,17.39,12.85,10.15,20.21,6.83,11.71,18.72,13.40
atpC,10112,15370,21432,7138,11551,11472,12009,12894,8472,7101,5402,4130,3439,4340,8136,9940,6690,10339,11267,7045,11302,12777,8.98,3.24,3.59,6.85,9.56,1.33,3.86,11.32,7.40,35.16,13.86,7.97,10.22,9.80,13.15,9.28
fur,6492,10748,8408,3805,5665,6661,5760,5617,5207,4303,4175,3546,4004,3659,7461,6874,6963,7179,5782,4476,5421,6453,1.61,12.73,4.85,4.18,6.54,3.71,7.97,5.85,9.12,15.70,9.40,5.49,5.44,10.44,11.55,6.65
can,3642,2319,2775,2124,2137,2539,2566,2538,2151,1545,1276,1052,2587,2445,6376,4720,8238,3445,2450,2105,2308,3300,5.18,16.94,6.83,2.26,5.31,4.74,1.17,6.89,14.75,3.10,6.56,2.77,5.68,2.04,4.62,4.53
