!!SBtab	TableType='Gene'
!LocusTag	!Reaction:Identifiers:kegg.reaction
b4226	R00004
b0129	R05570
b2091	R05571
b3846	R05575
b2341	R05575
b1395	R05576
b1866	R05577
b2400	R05578
b3846	R05595
b2341	R05595
b1393	R05595
b1394	R05595
b1850	R05605
b4322	R05606
b2705	R05607
b3128	R05608
b2232	R05614
b3930	R05617
b3057	R05627
b0841	R05627
b0087	R05629
b0087	R05630
b2747	R05633
b1208	R05634
b0420	R05636
b2746	R05637
b0090	R05662
b0052	R05681
b4267	R05683
b4267	R05684
b0173	R05688
b2052	R05692
b3844	R05705
b0937	R05705
b3844	R05706
b0937	R05706
b4070	R05712
b2552	R05724
b2552	R05725
b3503	R05747
b2495	R05747
b1519	R05763
b1955	R05790
b1621	R05820
b0731	R05820
b0679	R05820
b1101	R05820
b0129	R05820
b3012	R05823
b0207	R05823
b0052	R05837
b2564	R05838
b0061	R05850
b4198	R05850
b3583	R05850
b0350	R05864
b2542	R05875
b0029	R05884
b4119	R05961
b1107	R05963
b3076	R05994
b0344	R05994
b1107	R06001
b1107	R06004
b3076	R06010
b0344	R06010
b3533	R06023
b1309	R06034
b1896	R06043
b3429	R06049
b3428	R06050
b3417	R06050
b3416	R06069
b4119	R06070
b2132	R06077
b3338	R06081
b3338	R06082
b0403	R06084
b0403	R06087
b0403	R06088
b4119	R06091
b2132	R06092
b4119	R06093
b4119	R06094
b4119	R06096
b3076	R06098
b0344	R06098
b3076	R06099
b0344	R06099
b1197	R06103
b3519	R06103
b2132	R06104
b2716	R06112
b2901	R06112
b3721	R06112
b1734	R06112
b4239	R06113
b3076	R06114
b0344	R06114
b2366	R06131
b3772	R06131
b1814	R06131
b2797	R06131
b3117	R06131
b4471	R06131
b2441	R06132
b2440	R06132
b1638	R06133
b1767	R06134
b2957	R06134
b1768	R06134
b0485	R06134
b1524	R06134
b1623	R06137
b3665	R06137
b2143	R06137
b0337	R06137
b2065	R06137
b2883	R06137
b0516	R06138
b1107	R06141
b4119	R06142
b3076	R06144
b0344	R06144
b4119	R06152
b1386	R06154
b0870	R06171
b0090	R06172
b0090	R06173
b0090	R06174
b0084	R06177
b0149	R06177
b0084	R06178
b0149	R06178
b0084	R06179
b0149	R06179
b1800	R06180
b3428	R06185
b3417	R06185
b3432	R06186
b3531	R06200
b3076	R06202
b0344	R06202
b0271	R06203
b1927	R06209
b3571	R06209
b1621	R06212
b0731	R06212
b0679	R06212
b1101	R06212
b0129	R06212
b1896	R06226
b1897	R06228
b1621	R06229
b0731	R06229
b0679	R06229
b1101	R06229
b0129	R06229
b1621	R06236
b0731	R06236
b0679	R06236
b1101	R06236
b0129	R06236
b1621	R06237
b0731	R06237
b0679	R06237
b1101	R06237
b0129	R06237
b0772	R06250
b0459	R06251
b3801	R06280
b4150	R06363
b3846	R06411
b2341	R06411
b1393	R06411
b1394	R06411
b3846	R06412
b2341	R06412
b1393	R06412
b1394	R06412
b0174	R06447
b2041	R06513
b3788	R06513
b2038	R06514
b1993	R06558
b2935	R06590
b2465	R06590
b1970	R06601
b0124	R06620
b1386	R06740
b2538	R06782
b2539	R06782
b2538	R06783
b2539	R06783
b0348	R06788
b3830	R06835
b4094	R06836
b3830	R06838
b1692	R06846
b1692	R06847
b3930	R06858
b2935	R06861
b2465	R06861
b2935	R06863
b2465	R06863
b3867	R06895
b2955	R06895
b1241	R06917
b1478	R06917
b0356	R06917
b3589	R06917
b1241	R06927
b1478	R06927
b0356	R06927
b3589	R06927
b3846	R06941
b2341	R06941
b3846	R06942
b2341	R06942
b1393	R06942
b1394	R06942
b0356	R06983
b0903	R06987
b3951	R06987
b3114	R06987
b0823	R06987
b1635	R07002
b2302	R07002
b1635	R07003
b2302	R07003
b1635	R07004
b2302	R07004
b1635	R07023
b2302	R07023
b1635	R07024
b2302	R07024
b1635	R07025
b2302	R07025
b1635	R07026
b2302	R07026
b1710	R07034
b1710	R07035
b2052	R07059
b2052	R07060
b1635	R07069
b2302	R07069
b1635	R07070
b2302	R07070
b1635	R07083
b2302	R07083
b1635	R07084
b2302	R07084
b1635	R07091
b2302	R07091
b1635	R07092
b2302	R07092
b1635	R07093
b2302	R07093
b1635	R07094
b2302	R07094
b1635	R07100
b2302	R07100
b1241	R07105
b1478	R07105
b0356	R07105
b3589	R07105
b1635	R07113
b2302	R07113
b1635	R07116
b2302	R07116
b4196	R07125
b3581	R07125
b3580	R07127
b2705	R07133
b0356	R07140
b1189	R07166
b3941	R07168
b0605	R07180
b2480	R07180
b1324	R07180
b0972	R07182
b0973	R07182
b2994	R07182
b2997	R07182
b0935	R07210
b0029	R07219
b2878	R07229
b1587	R07229
b1588	R07229
b2232	R07235
b3368	R07237
b3803	R07237
b3368	R07238
b3803	R07238
b2262	R07263
b1270	R07268
b2459	R07268
b3041	R07281
b3164	R07282
b3643	R07285
b2374	R07290
b3825	R07291
b0494	R07291
b2744	R07297
b0480	R07297
b2291	R07297
b4374	R07297
b3846	R07314
b2341	R07314
b1393	R07314
b1394	R07314
b0340	R07315
b0340	R07316
b2836	R07325
b1241	R07326
b1478	R07326
b0356	R07326
b3589	R07326
b1241	R07327
b1478	R07327
b0356	R07327
b3589	R07327
b2533	R07343
b0578	R07354
b0578	R07355
b4054	R07396
b0522	R07404
b0523	R07405
b3073	R07408
b1297	R07414
b1298	R07419
b3942	R07443
b2530	R07460
b1680	R07460
b2794	R07605
b4219	R07606
b1778	R07607
b0116	R07618
b0032	R07641
b0033	R07641
b2255	R07658
b2253	R07659
b2255	R07660
b2254	R07661
b1621	R07671
b0731	R07671
b0679	R07671
b1101	R07671
b0129	R07671
b2323	R07762
b1095	R07762
b1093	R07763
b0630	R07766
b0628	R07767
b0628	R07768
b0630	R07769
b4386	R07770
b4386	R07771
b3076	R07807
b0344	R07807
b1107	R07809
b1107	R07810
b1617	R07818
b2222	R07832
b2221	R07832
b3821	R07860
b3846	R07889
b2341	R07889
b1393	R07889
b1394	R07889
b3846	R07890
b2341	R07890
b3845	R07891
b2342	R07891
b3846	R07893
b2341	R07893
b1393	R07893
b1394	R07893
b3846	R07894
b2341	R07894
b3845	R07895
b2342	R07895
b3846	R07897
b2341	R07897
b1393	R07897
b1394	R07897
b3846	R07898
b2341	R07898
b3845	R07899
b2342	R07899
b3845	R07937
b2342	R07937
b3845	R07953
b2342	R07953
b0972	R08034
b0973	R08034
b2994	R08034
b2997	R08034
b2787	R08056
b1490	R08057
b1794	R08057
b3845	R08091
b2342	R08091
b3846	R08093
b2341	R08093
b1393	R08093
b1394	R08093
b3846	R08094
b2341	R08094
b3845	R08095
b2342	R08095
b3830	R08120
b3830	R08121
b1617	R08127
b2264	R08165
b2263	R08166
b2913	R08198
b0029	R08209
b0029	R08210
b0893	R08218
b3591	R08219
b2143	R08221
b4382	R08222
b2873	R08227
b3831	R08229
b4382	R08230
b3642	R08231
b2066	R08232
b1238	R08233
b0125	R08237
b0125	R08238
b2508	R08240
b2781	R08243
b2507	R08244
b0125	R08245
b1617	R08260
b1635	R08280
b2302	R08280
b1241	R08281
b1478	R08281
b0356	R08281
b3589	R08281
b1241	R08306
b1478	R08306
b0356	R08306
b3589	R08306
b1241	R08310
b1478	R08310
b0356	R08310
b3589	R08310
b0121	R08359
b0605	R08360
b2480	R08360
b1324	R08360
b0605	R08362
b2480	R08362
b1324	R08362
b2234	R08363
b2235	R08363
b2675	R08363
b2676	R08363
b2234	R08364
b2235	R08364
b2675	R08364
b2676	R08364
b1621	R08366
b0731	R08366
b0679	R08366
b1101	R08366
b0129	R08366
b1621	R08367
b0731	R08367
b0679	R08367
b1101	R08367
b0129	R08367
b4384	R08368
b1463	R08386
b1635	R08511
b2302	R08511
b1635	R08512
b2302	R08512
b0116	R08549
b0726	R08549
b0727	R08549
b0116	R08550
b1241	R08557
b1478	R08557
b0356	R08557
b3589	R08557
b1241	R08558
b1478	R08558
b0356	R08558
b3589	R08558
b1621	R08559
b0731	R08559
b0679	R08559
b1101	R08559
b0129	R08559
b3124	R08572
b0514	R08572
b2464	R08575
b0008	R08575
b0688	R08639
b3671	R08648
b0078	R08648
b0077	R08648
b3769	R08648
b3670	R08648
b2241	R08657
b2242	R08657
b2243	R08657
b3426	R08657
b2515	R08689
b1814	R08698
b2797	R08698
b4471	R08698
b0732	R08717
b0732	R08718
b0708	R08765
b2232	R08781
b1621	R08860
b0731	R08860
b0679	R08860
b1101	R08860
b0129	R08860
b3012	R08878
b0207	R08878
b3553	R08879
b3553	R08880
b1448	R08938
b1489	R08991
b1285	R08991
b0315	R08991
b2551	R09099
b3957	R09107
b3830	R09136
b3830	R09220
b3830	R09222
b0871	R09321
b1107	R09323
